Algorithm;Map-Filename;Path-Length;Visited-Cubes;Max-Queue-Size;Runtime;Found-Goal;Memory-Used;Count-Of-Memory-Allocations;Average-Allocation-Size
A*;512x512_Map_1_Space_1.txt;5171.0;100935.0;120.0;2.799614850000944;1.0;12663.4197265625;198570.3;65.30353148917085
A*;512x512_Map_1_Space_2.txt;3855.0;149010.0;230.0;3.9988164499984125;1.0;16424.430859375;283124.6;59.40358849558305
A*;512x512_Map_1_Space_4.txt;3173.0;115086.0;240.0;3.191914769995492;1.0;14221.93291015625;238293.5;61.11479908123427
A*;512x512_Map_1_Space_8.txt;1689.0;82648.0;436.0;2.3436853299965152;1.0;10903.109765625;156553.9;71.31591386736791
A*;512x512_Map_1_Space_16.txt;3145.0;198321.0;326.0;5.653377089998685;1.0;24343.10283203125;368631.4;67.62130770686035
A*;512x512_Map_2_Space_1.txt;4343.0;86982.0;114.0;2.3927899399888704;1.0;11353.7021484375;167260.9;69.50931912736739
A*;512x512_Map_2_Space_2.txt;4271.0;138962.0;209.0;3.6960225700051526;1.0;15816.77724609375;271057.6;59.75253958899923
A*;512x512_Map_2_Space_4.txt;2991.0;94963.0;337.0;2.622752660000697;1.0;11710.1943359375;172931.5;69.34097653216864
A*;512x512_Map_2_Space_8.txt;3177.0;135777.0;428.0;3.813361889962107;1.0;14657.28466796875;236538.4;63.45295113335599
A*;512x512_Map_2_Space_16.txt;2217.0;166246.0;446.0;4.76900625001872;1.0;21730.49580078125;309306.2;71.94174485885591
A*;512x512_Map_3_Space_1.txt;4291.0;111050.0;130.0;3.1037837500101886;1.0;13494.91435546875;217761.8;63.45829430596075
A*;512x512_Map_3_Space_2.txt;3855.0;112674.0;317.0;3.0378325999714435;1.0;13476.77646484375;216025.4;63.88239127224324
A*;512x512_Map_3_Space_4.txt;4257.0;184892.0;299.0;5.1570426999940535;1.0;24138.618359375;371916.0;66.4610967883872
A*;512x512_Map_3_Space_8.txt;3291.0;193141.0;369.0;5.483489540009759;1.0;24124.51201171875;365421.6;67.60273702137684
A*;512x512_Map_3_Space_16.txt;1971.0;184264.0;789.0;5.322510200005491;1.0;23074.7376953125;338872.6;69.7268868942437
A*;512x512_Map_4_Space_1.txt;4987.0;71588.0;106.0;1.986452899989672;1.0;7966.5169921875;135800.0;60.071527466275576
A*;512x512_Map_4_Space_2.txt;3563.0;123282.0;277.0;3.304013360000681;1.0;14297.928125;234467.2;62.444036645028426
A*;512x512_Map_4_Space_4.txt;3763.0;152803.0;388.0;4.25160113000311;1.0;16682.62158203125;288429.1;59.227742701414265
A*;512x512_Map_4_Space_8.txt;2919.0;199693.0;500.0;5.6935721699730495;1.0;24702.32724609375;379012.9;66.73963637587696
A*;512x512_Map_4_Space_16.txt;3263.0;131503.0;430.0;3.7281354800215922;1.0;14857.68994140625;246072.9;61.828322081904425
A*;512x512_Map_5_Space_1.txt;5455.0;87245.0;91.0;2.4067662099958396;1.0;11220.10703125;162500.4;70.70376203958331
A*;512x512_Map_5_Space_2.txt;3519.0;100784.0;224.0;2.6881758799776434;1.0;12734.7708984375;201284.0;64.7861005318787
A*;512x512_Map_5_Space_4.txt;2881.0;176680.0;454.0;4.957002929993905;1.0;22886.95009765625;338340.7;69.26815771688743
A*;512x512_Map_5_Space_8.txt;2597.0;153524.0;430.0;4.34792699002428;1.0;16785.50732421875;291450.2;58.975288143943125
A*;512x512_Map_5_Space_16.txt;2569.0;166175.0;552.0;4.765605520003009;1.0;21710.30419921875;308399.4;72.08623461288123
A*;512x512_Map_6_Space_1.txt;6623.0;116518.0;96.0;3.2239904299960473;1.0;14060.409375;231273.7;62.254632608112026
A*;512x512_Map_6_Space_2.txt;4517.0;105658.0;226.0;2.8258707199944184;1.0;13047.39404296875;207433.9;64.40862135001387
A*;512x512_Map_6_Space_4.txt;2337.0;62683.0;281.0;1.7341280899825506;1.0;7603.99345703125;131517.3;59.205057834730496
A*;512x512_Map_6_Space_8.txt;3181.0;117763.0;230.0;3.3163872000062837;1.0;13863.429296875;224811.8;63.14682619808808
A*;512x512_Map_6_Space_16.txt;2331.0;189043.0;598.0;5.45700371999992;1.0;23603.9681640625;352105.0;68.64561256520156
A*;512x512_Map_7_Space_1.txt;5023.0;103636.0;92.0;2.8670637400005945;1.0;12945.77392578125;205591.7;64.47961012864593
A*;512x512_Map_7_Space_2.txt;3909.0;109762.0;245.0;2.93504863998387;1.0;13041.173046875;204286.3;65.36983264516557
A*;512x512_Map_7_Space_4.txt;4729.0;81529.0;162.0;2.2248026000335814;1.0;10821.85458984375;154147.1;71.88963770101157
A*;512x512_Map_7_Space_8.txt;3697.0;191502.0;416.0;5.418091159977484;1.0;24371.0740234375;374371.6;66.66098557906219
A*;512x512_Map_7_Space_16.txt;2341.0;198908.0;589.0;5.728940620017238;1.0;24284.493359375;366500.0;67.85080845629813
A*;512x512_Map_8_Space_1.txt;4547.0;110319.0;116.0;3.0742023499915376;1.0;13424.19072265625;216022.3;63.63403853313305
A*;512x512_Map_8_Space_2.txt;3401.0;122598.0;253.0;3.293547590007074;1.0;14662.96455078125;246647.5;60.87584816919927
A*;512x512_Map_8_Space_4.txt;2587.0;128260.0;454.0;3.5667476900154726;1.0;14682.01494140625;243137.8;61.83482496129236
A*;512x512_Map_8_Space_8.txt;4481.0;183640.0;446.0;5.194459909992292;1.0;23622.00654296875;356198.3;67.90861933627238
A*;512x512_Map_8_Space_16.txt;2421.0;192202.0;450.0;5.524286550015677;1.0;23519.33232421875;346919.5;69.42185819092964
A*;512x512_Map_9_Space_1.txt;4091.0;106172.0;108.0;2.9489999299868943;1.0;13038.11259765625;206922.2;64.52196685215587
A*;512x512_Map_9_Space_2.txt;4125.0;92009.0;214.0;2.450672260008287;1.0;11998.94658203125;184131.2;66.72916578789355
A*;512x512_Map_9_Space_4.txt;3305.0;86376.0;286.0;2.375215980003122;1.0;11443.92822265625;170778.9;68.61844484682533
A*;512x512_Map_9_Space_8.txt;2961.0;144579.0;295.0;4.06180364000611;1.0;15914.5669921875;270288.7;60.29300008578247
A*;512x512_Map_9_Space_16.txt;5325.0;209838.0;385.0;5.973587809992023;1.0;25520.378125;396978.4;65.82944382767566
A*;512x512_Map_10_Space_1.txt;6895.0;107659.0;99.0;2.9705402600113304;1.0;13259.51533203125;212074.8;64.02337173247277
A*;512x512_Map_10_Space_2.txt;3639.0;124215.0;209.0;3.331737570010591;1.0;14287.59560546875;233471.3;62.665081296384436
A*;512x512_Map_10_Space_4.txt;3557.0;144372.0;367.0;4.016885659983382;1.0;16289.89462890625;282330.2;59.082776517461674
A*;512x512_Map_10_Space_8.txt;2507.0;164535.0;440.0;4.66942133998964;1.0;21389.55615234375;299518.4;73.12707841730702
A*;512x512_Map_10_Space_16.txt;3357.0;201744.0;395.0;5.767796570016071;1.0;25203.04345703125;393313.7;65.61662251225655
BFS;512x512_Map_1_Space_1.txt;5171.0;121709.0;24.0;3.1056236299918965;1.0;14405.398046875;238778.2;61.77753177945899
BFS;512x512_Map_1_Space_2.txt;3855.0;166434.0;47.0;4.0209138499805706;1.0;22188.05283203125;323488.5;70.23608617221711
BFS;512x512_Map_1_Space_4.txt;3173.0;143804.0;113.0;3.5870987199945374;1.0;16735.08349609375;297256.2;57.64968242253811
BFS;512x512_Map_1_Space_8.txt;1689.0;181926.0;189.0;4.646343889995478;1.0;23128.8302734375;342551.1;69.13982257957555
BFS;512x512_Map_1_Space_16.txt;3145.0;210969.0;24.0;5.428466569981538;1.0;25577.11240234375;398753.3;65.68212264859218
BFS;512x512_Map_2_Space_1.txt;4343.0;102736.0;29.0;2.603151300002355;1.0;12659.23603515625;197280.5;65.70876371975962
BFS;512x512_Map_2_Space_2.txt;4271.0;162120.0;23.0;3.922090639988892;1.0;21849.14091796875;315744.6;70.85955027120431
BFS;512x512_Map_2_Space_4.txt;2991.0;170390.0;149.0;4.274087079998571;1.0;22295.70498046875;324181.6;70.42596472299388
BFS;512x512_Map_2_Space_8.txt;3177.0;155719.0;108.0;3.946197409986053;1.0;16429.416796875;278540.0;60.39966546308365
BFS;512x512_Map_2_Space_16.txt;2217.0;183862.0;67.0;4.744908080017194;1.0;23445.673828125;351127.3;68.37511649789145
BFS;512x512_Map_3_Space_1.txt;4291.0;122783.0;16.0;3.1223436000058427;1.0;14528.02587890625;242050.7;61.46108464201067
BFS;512x512_Map_3_Space_2.txt;3855.0;149811.0;73.0;3.639942090015393;1.0;16706.53994140625;291622.3;58.66319872161786
